#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_296	12	3	4	10	4	3	5	26	6	46	41	15	2	13	11	40	8	17
OTU_297	18	10	6	6	6	33	58	17	10	11	22	26	12	12	13	8	13	10
OTU_298	15	25	15	5	39	12	2	4	12	8	9	15	4	49	7	6	5	6
OTU_299	17	32	7	17	14	12	10	5	13	11	9	6	19	10	18	21	5	22
OTU_3	515	384	692	713	941	693	545	401	902	943	722	606	808	1364	821	962	931	616
OTU_30	157	99	132	160	156	231	120	97	183	262	121	90	147	152	162	140	117	135
OTU_300	7	20	40	11	12	14	13	29	15	17	9	15	16	10	23	16	10	16
OTU_301	26	13	18	36	21	24	19	16	19	12	18	20	12	8	12	11	15	19
OTU_302	8	5	1	6	6	3	22	23	26	18	25	19	15	12	23	18	13	19
OTU_303	24	13	0	2	1	11	10	17	48	16	9	23	16	1	8	3	5	57
OTU_305	9	9	8	13	10	11	35	7	9	24	14	14	8	25	16	23	22	18
OTU_306	18	18	28	9	16	21	22	16	10	15	9	10	11	7	41	22	5	20
OTU_307	27	25	42	11	23	19	4	11	4	11	17	7	5	8	19	14	7	10
OTU_308	25	17	2	16	60	14	21	22	4	10	9	13	17	20	5	9	2	6
OTU_309	15	26	6	20	8	9	12	13	15	7	10	14	19	8	17	13	5	19
OTU_31	181	180	188	226	45	232	175	197	304	198	199	136	201	155	201	188	262	138
OTU_310	7	10	7	9	6	6	22	23	9	31	11	44	2	4	2	5	52	12
OTU_311	9	8	11	9	5	2	31	26	20	40	14	6	5	17	19	10	13	12
OTU_312	18	13	22	35	46	13	16	19	3	9	11	14	7	5	18	11	16	6
OTU_313	8	8	7	13	13	7	4	21	16	19	12	13	24	8	18	12	15	15
OTU_314	10	11	5	6	8	24	5	18	25	27	13	30	16	6	12	27	8	13
OTU_316	5	13	6	9	2	7	12	7	3	16	9	11	10	14	20	20	5	88
OTU_317	57	4	76	8	1	6	5	8	9	8	10	24	1	5	11	22	2	3
OTU_318	7	1	13	2	18	5	15	7	13	13	16	8	10	21	23	19	9	25
OTU_319	12	11	9	25	15	18	10	5	15	12	12	6	15	20	15	10	15	12
OTU_32	162	127	112	111	90	122	194	125	126	146	154	175	149	169	195	123	108	184
OTU_320	18	33	10	9	5	20	7	2	20	5	3	7	8	9	10	30	22	6
OTU_322	41	39	136	13	16	40	15	16	20	25	9	7	5	5	20	12	5	13
OTU_323	6	26	15	25	15	12	11	18	11	11	7	20	22	8	13	14	19	8
OTU_324	19	6	18	21	11	30	7	6	23	14	16	20	29	18	10	13	24	10
OTU_325	10	10	5	4	8	2	29	8	10	24	16	29	4	3	12	53	0	8
OTU_326	15	12	10	4	2	9	17	33	15	13	13	23	10	11	16	14	8	14
OTU_327	23	14	4	15	4	13	31	23	11	17	18	28	14	14	15	11	9	22
OTU_33	188	150	110	115	67	152	240	157	161	164	204	236	173	160	271	203	201	252
OTU_330	19	16	32	28	59	49	12	19	14	24	54	17	28	8	18	26	25	22
OTU_331	17	28	20	13	26	26	10	7	15	6	14	13	5	16	13	12	17	14
OTU_332	22	23	5	11	21	10	7	16	11	15	7	11	21	7	14	9	4	15
OTU_333	20	10	9	2	4	11	20	13	14	17	9	20	8	15	25	18	7	15
OTU_334	11	4	10	9	3	5	10	7	46	24	10	13	17	17	14	20	8	18
OTU_335	19	32	18	16	5	11	74	31	51	25	27	25	15	24	28	26	29	34
OTU_336	12	17	35	14	25	19	10	18	9	5	9	9	6	7	9	10	9	10
OTU_337	23	8	3	6	3	11	23	10	14	9	22	26	13	7	9	14	11	14
OTU_338	35	3	12	6	68	24	4	0	5	6	2	5	8	8	6	6	13	13
OTU_339	7	14	25	5	15	56	4	22	5	18	13	5	4	6	11	5	9	9
OTU_340	14	21	5	7	2	9	13	25	20	12	18	19	26	4	10	20	4	13
OTU_341	9	22	7	20	12	12	10	11	12	12	6	8	18	11	11	14	9	11
OTU_343	19	19	7	11	11	13	13	13	15	5	11	14	12	6	17	22	12	18
OTU_344	20	11	22	20	29	15	11	7	4	7	11	13	11	9	8	10	9	13
OTU_345	18	23	4	17	0	8	27	22	17	14	12	18	17	7	20	9	9	19
OTU_346	17	25	6	12	11	2	18	6	13	20	13	28	16	11	6	6	14	10
OTU_347	16	14	31	4	5	12	19	11	6	12	16	20	11	13	15	4	5	14
OTU_348	11	7	3	7	3	2	21	7	20	16	15	19	13	10	22	18	9	19
OTU_349	14	33	22	18	5	10	24	3	15	14	6	16	12	16	14	4	4	14
OTU_35	134	125	168	156	120	109	107	76	146	139	150	130	138	160	167	151	153	185
OTU_350	11	7	8	6	7	11	4	1	9	5	23	5	9	65	10	6	25	4
OTU_351	26	1	2	22	10	10	42	11	24	16	14	36	6	8	5	6	4	7
OTU_352	7	28	7	4	3	7	13	26	20	9	7	22	10	10	17	8	5	9
OTU_353	11	14	24	7	19	10	6	11	7	17	20	13	4	3	7	15	13	14
OTU_355	22	11	7	8	8	10	18	9	10	14	13	18	11	5	10	10	9	14
OTU_356	9	17	11	11	8	9	19	19	15	12	16	13	19	17	11	21	12	14
OTU_357	7	4	32	13	22	11	6	10	6	7	17	7	2	14	15	9	17	15
OTU_358	14	6	13	11	10	11	12	11	12	10	9	15	6	12	16	7	10	13
OTU_359	26	13	15	2	7	19	17	13	4	6	9	23	9	6	8	6	9	11
OTU_36	176	55	80	195	153	295	57	33	241	166	84	83	194	251	97	123	125	87
OTU_360	13	10	35	7	2	2	27	4	10	20	13	8	0	28	4	26	10	19
OTU_361	14	11	15	17	11	11	13	11	15	12	11	15	9	10	11	8	12	5
OTU_362	15	18	11	8	3	11	17	13	18	13	16	24	10	15	6	9	9	17
OTU_364	8	7	5	2	8	6	3	4	3	11	85	24	5	22	16	11	2	3
OTU_365	8	5	9	33	22	15	8	4	12	3	3	5	2	30	4	13	13	5
OTU_366	24	18	12	28	11	11	9	19	23	7	10	17	9	11	29	14	15	6
OTU_367	14	12	49	2	1	6	10	10	9	4	8	14	5	5	13	10	2	8
OTU_369	26	16	8	8	15	19	20	18	11	6	12	14	11	17	9	4	10	10
OTU_37	118	84	103	42	109	94	167	115	101	120	153	166	117	173	241	163	181	197
OTU_370	6	13	12	6	2	7	18	11	16	15	17	19	11	11	16	8	12	24
OTU_372	15	15	10	7	10	6	17	20	9	10	23	14	9	15	14	6	15	7
OTU_373	15	10	7	9	8	11	9	17	9	14	9	21	16	17	13	9	7	14
OTU_374	14	16	11	2	9	5	22	12	8	14	25	13	10	5	14	6	16	15
OTU_375	5	5	10	6	27	8	7	13	9	16	9	11	12	8	12	7	9	14
OTU_376	7	8	5	6	9	14	28	11	32	26	10	36	3	0	7	7	4	19
OTU_377	13	10	11	11	5	5	14	12	12	9	12	17	11	7	13	7	2	10
OTU_378	2	62	3	6	2	8	8	19	21	8	10	10	9	24	18	16	3	10
